S No.,Date,App Name,Usage (in Seconds),Launch Count,is Monitoring,is SystemApp,Package Name
185,2022/07/19,Samsung capture,11,1,No,Yes,com.samsung.android.app.smartcapture
186,2022/07/15,Samsung capture,18,3,No,Yes,com.samsung.android.app.smartcapture
187,2022/07/21,Swiggy,168,7,Yes,No,in.swiggy.android
188,2022/07/17,Pikashow,3671,21,Yes,No,com.offshore.pikachu
189,2022/07/21,Maps,1214,22,Yes,No,com.google.android.apps.maps
190,2022/07/15,Clock,17,3,Yes,No,com.sec.android.app.clockpackage
191,2022/07/18,Xodo Docs,217,7,Yes,No,com.xodo.pdf.reader
192,2022/07/15,Galaxy Themes,16,1,No,Yes,com.samsung.android.themestore
193,2022/07/19,Xodo Docs,307,7,Yes,No,com.xodo.pdf.reader
194,2022/07/16,Xodo Docs,251,16,Yes,No,com.xodo.pdf.reader
195,2022/07/20,Settings,14,4,Yes,No,com.android.settings
196,2022/07/21,GPay,198,7,Yes,No,com.google.android.apps.nbu.paisa.user
197,2022/07/20,GPay,36,1,Yes,No,com.google.android.apps.nbu.paisa.user
198,2022/07/21,Settings,3,2,Yes,No,com.android.settings
199,2022/07/15,Xodo Docs,1761,19,Yes,No,com.xodo.pdf.reader
200,2022/07/15,Speech Services by Google,0,2,No,Yes,com.google.android.tts
201,2022/07/17,Photo Editor,205,1,No,Yes,com.sec.android.mimage.photoretouching
202,2022/07/15,Photo Editor,122,1,No,Yes,com.sec.android.mimage.photoretouching
203,2022/07/16,Drive,0,2,Yes,No,com.google.android.apps.docs
204,2022/07/18,Drive,54,2,Yes,No,com.google.android.apps.docs
205,2022/07/15,Adapt sound,2,1,No,Yes,com.sec.hearingadjust
206,2022/07/18,Truecaller,25,2,Yes,No,com.truecaller
207,2022/07/21,Xodo Docs,40,1,Yes,No,com.xodo.pdf.reader
208,2022/07/19,Truecaller,20,2,Yes,No,com.truecaller
209,2022/07/20,Xodo Docs,44,3,Yes,No,com.xodo.pdf.reader
210,2022/07/15,Truecaller,14,1,Yes,No,com.truecaller
211,2022/07/19,AccuBattery,159,6,Yes,No,com.digibites.accubattery
212,2022/07/18,AccuBattery,119,2,Yes,No,com.digibites.accubattery
213,2022/07/19,GPay,249,12,Yes,No,com.google.android.apps.nbu.paisa.user
214,2022/07/17,AccuBattery,25,1,Yes,No,com.digibites.accubattery
215,2022/07/18,GPay,483,8,Yes,No,com.google.android.apps.nbu.paisa.user
216,2022/07/16,AccuBattery,48,1,Yes,No,com.digibites.accubattery
217,2022/07/17,GPay,89,5,Yes,No,com.google.android.apps.nbu.paisa.user
218,2022/07/15,AccuBattery,100,8,Yes,No,com.digibites.accubattery
219,2022/07/16,GPay,255,12,Yes,No,com.google.android.apps.nbu.paisa.user
220,2022/07/15,GPay,69,2,Yes,No,com.google.android.apps.nbu.paisa.user
221,2022/07/20,Truecaller,88,3,Yes,No,com.truecaller
222,2022/07/17,Call,716,3,Yes,No,com.samsung.android.incallui
