"user",1,"category","videos_uploaded","views","rating",4,5
"kOrOne79",842,"Sports",346,10713,4.74,42,13
"newzjim",706,"Sports",309,47106,3.85,60,591
"PrestonV20",628,"Sports",119,50110,4.07,54,34
"elgroxo",744,"Comedy",268,268631,4.51,926,1004
"puprock2975",986,"Sports",478,7853,5,22,21
"puprock2975",987,"Sports",460,5734,5,19,12
"1EDmanLV",1122,"Sports",58,2896,5,4,10
"Brooky217",497,"Music",90,3632,4.18,11,5
"dinxbeau",1104,"Sports",150,7962,5,12,28
"xeenslayer",1045,"Entertainment",513,1040,4.17,6,8
"iRespond2U",1135,"Comedy",80,210,1.67,12,48
"1mResponder",1135,"Comedy",54,224,1.8,5,14
"supermac18",843,"Comedy",66,714699,4.54,1671,2828
"supermac18",851,"Comedy",106,1714836,4.75,5477,8748
"supermac18",794,"Comedy",33,366065,4.47,721,1289
"supermac18",855,"Comedy",94,481660,4.62,1219,2004
"supermac18",1048,"Comedy",180,254111,4.48,1444,2702
"supermac18",922,"Comedy",182,218052,4.63,1012,1929
"supermac18",1092,"Comedy",184,72844,4.63,643,1334
"supermac18",809,"Comedy",73,223533,4.74,607,938
"supermac18",862,"Comedy",82,440797,4.59,1331,2777
"supermac18",942,"Comedy",240,181663,4.6,869,1478
"supermac18",825,"Comedy",76,401454,4.38,955,1810
"supermac18",1054,"People & Blogs",69,93061,4.48,320,717
"supermac18",794,"Comedy",37,399838,4.52,872,1386
"supermac18",805,"Comedy",113,338457,4.55,902,1228
"supermac18",863,"Comedy",86,192080,4.65,636,1052
"supermac18",844,"Comedy",63,82734,4.58,206,308
"supermac18",796,"Comedy",55,63544,4.62,158,219
"supermac18",859,"Comedy",86,166754,4.47,375,571
"Starsxx21",897,"People & Blogs",218,146453,4.43,182,215
"mileyroxmyworld4ever",879,"Music",300,72416,4.7,182,127
"Hedda1996",1084,"Music",205,1071,5,2,7
"0sonalika0",965,"Entertainment",256,752,5,2,5
"lovelifetilldeath",1092,"Music",196,296,0,0,1
"r4ndybp",983,"Music",214,11215,4.99,67,28
"BillabongNL",1097,"Music",224,5431,3.67,6,49
"asianarmy",864,"Music",116,23125,4.62,37,38
"kat12923",1010,"Music",194,5915,5,84,24
"qtpiecoco7",941,"Music",228,5617,4.88,8,11
"HannahMileyFanatic",998,"Music",179,6188,5,10,20
"shabba57",1071,"Entertainment",97,2359,3.9,10,18
"RoisFan",881,"Music",216,30792,4.77,56,24
"IEatDogs342",1042,"Music",218,2008,4.6,15,7
"kat12923",1008,"Music",219,52314,4.83,221,320
"drexiel8",1040,"Music",224,978,4,9,6
"715gilmoregirlsfan",1077,"Music",213,716,3,4,6
"mileyfan98",1086,"Entertainment",218,1562,4,5,9
"ChristerD93",863,"Music",214,6438,4.44,27,20
"xZashleyFanx",1035,"Music",214,1902,5,8,6
"RosetylerProductions",1061,"Entertainment",100,2198,5,13,69
"JexL92",962,"Entertainment",126,5689,3.5,6,8
"Madrosed",1109,"People & Blogs",428,2475,4.44,34,39
"stemcellfilms",972,"Film & Animation",166,498,3.5,10,6
"XL0v3Dx4l0tX",1129,"Film & Animation",214,346,5,17,15
"MrsxDeanxWinchesterx",1104,"Film & Animation",286,370,5,8,8
"suchiha13",964,"Music",250,568,4.59,22,16
"lions22rule",1109,"Film & Animation",221,257,5,3,2
"Ketsuekiko",1057,"Film & Animation",401,1011,4.94,35,25
"lions22rule",1114,"Film & Animation",185,386,5,3,3
"Avatargurl649",1049,"Film & Animation",109,2561,4.71,52,51
"ThomsonFinancial",1053,"News & Politics",81,98,0,0,0
"Big100000",1120,"Music",24,84,0,0,1
"suchiha13",961,"Music",183,1152,4.76,25,17
"UFlibraries",1107,"Education",496,998,5,1,1
"PimpMyChocobo",1114,"Film & Animation",238,375,5,17,13
"super5lady95",1130,"Film & Animation",248,276,4.75,20,11
"xMimiko",1118,"Film & Animation",231,1078,4.93,58,30
"xMimiko",1110,"Film & Animation",181,2177,4.91,186,104
"McLiga4",877,"News & Politics",636,11933,4.52,21,47
,,,,,,,
"puebloplug",1135,"Science & Technology",88,1438,4.06,18,13
"davidisbetterthenyou",1135,"Science & Technology",22,445,1.73,11,6
"batermaster77",0," UNA ",118,1156,4.2,5,3
"davoodnpussy",1135,"Science & Technology",77,246,2.25,4,7
"HadassaCraigdspwkj",1135,"Film & Animation",199,844,1.12,8,7
"mistermashup",961,"Science & Technology",62,2655,4.5,14,8
"fuzzishaq",1136,"Science & Technology",191,132,0,0,0
"mistermashup",1030,"Education",461,1003,3.83,6,1
"mistermashup",968,"News & Politics",245,914,5,7,4
"mistermashup",1029,"Comedy",134,1010,5,5,4
"mistermashup",981,"News & Politics",205,763,5,1,3
"MovieMaker987",838,"Howto & Style",124,17232,0,0,0
"jddj111",1062,"Entertainment",91,2013,3.79,19,28
"Naz18h",994,"Entertainment",200,24145,2.7,10,8
"StormProductionzZ",1120,"Education",54,147,0,0,0
"gilmar406",870,"People & Blogs",93,342,3,2,0
"aradroxar",1024,"Howto & Style",79,186,3,2,1
"IrustyshacklefordI",1062,"Entertainment",176,2176,3.56,9,9
"CoastermanTB",1092,"People & Blogs",443,340,4.8,5,9
"CoastermanTB",1093,"People & Blogs",479,2292,2.72,18,28
"thisisisaac",1042,"Howto & Style",44,72,0,0,1
"JohnMoylanIV",1089,"Howto & Style",196,314,5,1,5
"dazmondo007",1041,"Howto & Style",40,194,5,2,2
"IrustyshacklefordI",1068,"Comedy",59,7797,5,21,16
"djluckyluck",1133,"Howto & Style",96,95,1,1,1
"PL4YB3Y0ND",1017,"Howto & Style",66,2979,3,4,15
"dchhat007",1135,"Entertainment",309,41,0,0,0
"10cutie10",1117,"Entertainment",92,59,0,0,0
"dantheman8679",1096,"Howto & Style",39,84,0,0,0
"BTNH420",1084,"Entertainment",176,340,0,0,1
"kitesurffreak",968,"Howto & Style",124,303,1,1,0
"DaniiDeanwnsyuv",1135,"Music",243,35163,4.68,192,240
"mudcap16",1134,"Music",133,9649,4.8,55,52
"sora99252",1134,"Entertainment",295,6801,4.7,43,22
,,,,,,,
9224221550,1135,"People & Blogs",77,1101,5,6,2
"DaniiDeanwnsyuv",1135,"Music",238,4423,4.62,21,18
"MuzicIdol",1134,"Music",498,20898,4.88,147,114
"haircubedspray",1134,"People & Blogs",84,665,5,1,0
"jjfridge",1134,"Entertainment",124,1048,4.75,4,0
"RadioKalin",1134,"Entertainment",129,3699,4.76,21,24
"SouljaBoi900",1135,"Music",288,799,3.67,3,2
,,,,,,,
60543,1136,"Music",266,215,3,2,3
"heatherturnbow",1134,"Entertainment",235,17840,4.35,48,51
"LynBowenaboj",1135,"Entertainment",243,902,0,0,1
"scottcacciatore1",1135,"Entertainment",236,238,0,0,0
"momrocks2",1135,"Entertainment",128,250,3,1,1
"ringtones1221",1135,"Music",236,1249,5,3,5
"callieReevesyvar",1135,"People & Blogs",189,147,2,4,4
"SanarioSan",620,"Film & Animation",502,758085,4.68,986,792
"thuylinh511",511,"Film & Animation",72,223040,4.62,338,321
"dreamcortex",561,"Film & Animation",153,704458,4.72,805,529
"SpaceGhost2K",316,"Entertainment",178,452836,4.6,898,478
"mizuchilondon",745,"People & Blogs",317,199448,4.57,212,342
"agerbeek",332,"Film & Animation",140,355886,4.41,648,550
"SanrioCinnamon",669,"Entertainment",67,386851,4.46,413,339
"karenkong99",611,"Music",221,212093,4.52,252,159
"simple4chi",986,"Music",186,19132,4.25,16,8
"tempusmaster",286,"People & Blogs",78,185845,4.59,206,236
"xiaoqiann",798,"Entertainment",120,72349,4.78,121,167
"hellokittyfanchelly",614,"Entertainment",60,86084,4.66,107,78
"youryouyou",823,"Pets & Animals",26,4316138,4.78,9424,8592
"EmplehProductions",586,"Comedy",763,2057,4.89,18,4
"sailormoonstars90",649,"Film & Animation",29,30825,4.45,20,7
"hknetmart2",844,"Entertainment",134,59913,4.59,70,158
"hellokittymuseum",438,"People & Blogs",35,57702,4.45,65,61
"gdrmsp",855,"People & Blogs",189,31381,3.26,19,14
"ChibiKiba",464,"Music",60,192917,4.39,145,74
"SecretLivesOfWomen",1133,"Entertainment",40,1981,4.5,12,13
"SecretLivesOfWomen",1133,"Entertainment",55,1405,4.43,7,10
,,,,,,,
"SecretLivesOfWomen",1134,"Entertainment",31,361,3,2,1
"SecretLivesOfWomen",1133,"Entertainment",38,743,4,4,2
"thesecretcollection",1104,"Film & Animation",188,344,4.5,4,3
"thesecretcollection",1105,"Film & Animation",53,321,5,1,0
"bridgingheaven",865,"Entertainment",3517,2653,4.27,11,7
"bethiemw",1028,"Entertainment",353,16961,4.48,33,21
"ForaTv",1001,"News & Politics",332,7610,4.86,81,65
"TubeTop100",866,"Entertainment",68,10284,3.29,7,2
"rasavonwerder",1135,"Education",601,488,4.75,8,0
"JasonBentleyJones",892,"Entertainment",29,3881,3.82,33,7
"Nimwghen",862,"News & Politics",302,16332,4.59,22,24
"Insightful",883,"Music",259,104173,4.86,202,95
"bigassfarts69",1090,"Autos & Vehicles",25,4110,2.33,6,25
"oKoAo",1088,"Sports",149,15190,4.12,32,40
"SheilaKelleysSFactor",910,"People & Blogs",41,12531,4,5,4
"SecretLivesOfWomen",1134,"Entertainment",31,1413,3.67,6,5
"MarcyFromMaui",632,"People & Blogs",154,2311640,4.79,1766,881
"lovebugg1986",1135,"People & Blogs",54,223,2.33,6,10
"InfamousProject",1008,"Travel & Events",292,3065,4.33,15,15
"expertvillage",959,"Howto & Style",89,708,1,1,1
"StudentMovies",932,"Film & Animation",32,16725,4.25,28,10
"bodybuildingcourse",1113,"Howto & Style",116,1661,3.33,3,0
"pennylucky",1107,"Comedy",469,334,5,2,2
"missglamorousprom",1056,"People & Blogs",39,132,0,0,0
"amy04",973,"Howto & Style",202,9671,4.22,45,23
"fineartspot",1115,"Education",98,163,0,0,0
"chocopicante",1078,"Entertainment",187,41,0,0,0
"dedelopez",634,"Music",197,16149,4.86,28,18
"daydreamingprincess",977,"Film & Animation",142,22576,4.73,37,70
