,college_name,program_name,quota,opening_rank,closing_rank
3864,"National Institute of Technology, Manipur","Electrical Engineering (4 Years, Bachelor of Technology)",HS,7477,17536
3865,National Institute of Technology Calicut,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",HS,7900,17540
3872,"National Institute of Technology, Srinagar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",JK,17617,17617
3898,National Institute of Technology Agartala,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",HS,12375,17871
3903,National Institute of Technology Meghalaya,"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,6277,17969
3925,National Institute of Technology Meghalaya,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,7376,18254
3932,National Institute of Technology Nagaland,"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,18308,18308
3983,National Institute of Technology Arunachal Pradesh,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,13596,19232
3989,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,19355,19355
3991,National Institute of Technology Agartala,"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,9491,19373
4003,"National Institute of Technology, Mizoram","Civil Engineering (4 Years, Bachelor of Technology)",HS,19686,19686
4014,"National Institute of Technology, Tiruchirappalli","Production Engineering (4 Years, Bachelor of Technology)",HS,19864,19864
4017,National Institute of Technology Agartala,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",HS,8729,19886
4028,National Institute of Technology Durgapur,"Bio Technology (4 Years, Bachelor of Technology)",HS,19973,19973
4029,National Institute of Technology Durgapur,"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,11904,19992
4079,National Institute of Technology Agartala,"Computational Mathematics (5 Years, Bachelor and Master of Technology (Dual Degree))",HS,17654,21024
4105,"Indian Institute of Engineering Science and Technology, Shibpur","Mining Engineering (4 Years, Bachelor of Technology)",HS,21468,21468
4168,National Institute of Technology Agartala,"Production Engineering (4 Years, Bachelor of Technology)",HS,22798,22798
4170,"National Institute of Technology, Mizoram","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,22919,22919
4174,National Institute of Technology Agartala,"Chemical Engineering (4 Years, Bachelor of Technology)",HS,14481,22972
4190,"National Institute of Technology, Kurukshetra","Electrical Engineering (4 Years, Bachelor of Technology)",HS,5763,23356
4209,National Institute of Technology Meghalaya,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,5729,23697
4216,National Institute of Technology Sikkim,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,23898,23898
4230,"National Institute of Technology, Kurukshetra","Mechanical Engineering (4 Years, Bachelor of Technology)",HS,18751,24286
4240,National Institute of Technology Agartala,"Engineering Physics (5 Years, Bachelor and Master of Technology (Dual Degree))",HS,13310,24757
4243,"National Institute of Technology, Manipur","Mechanical Engineering (4 Years, Bachelor of Technology)",HS,24943,24943
4284,National Institute of Technology Nagaland,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,8288,26561
4286,National Institute of Technology Calicut,"Chemical Engineering (4 Years, Bachelor of Technology)",HS,26649,26649
4307,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Textile Technology (4 Years, Bachelor of Technology)",HS,27312,27312
4339,National Institute of Technology Arunachal Pradesh,"Electrical Engineering (4 Years, Bachelor of Technology)",HS,12721,28584
4350,National Institute of Technology Nagaland,"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,12025,29018
4375,National Institute of Technology Agartala,"Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology)",HS,16244,30240
4400,National Institute of Technology Agartala,"Production Engineering (4 Years, Bachelor of Technology)",HS,31221,31221
4406,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Information Technology (4 Years, Bachelor of Technology)",HS,14671,31558
